               Exact      Appr
    9.5500   -0.1249   -0.1054
    9.6000   -0.1743   -0.1473
    9.6500   -0.2233   -0.1877
    9.7000   -0.2718   -0.2262
    9.7500   -0.3195   -0.2627
    9.8000   -0.3665   -0.2969
    9.8500   -0.4125   -0.3285
    9.9000   -0.4575   -0.3575
    9.9500   -0.5014   -0.3837
   10.0000   -0.5440   -0.4070
