               Exact      Appr
    9.3500   -0.9972   -0.9154
    9.4000   -0.9997   -0.9068
    9.4500   -0.9997   -0.8934
    9.5000   -0.9972   -0.8752
    9.5500   -0.9922   -0.8515
    9.6000   -0.9847   -0.8236
    9.6500   -0.9747   -0.7903
    9.7000   -0.9624   -0.7516
    9.7500   -0.9476   -0.7075
    9.8000   -0.9304   -0.6587
    9.8500   -0.9109   -0.6062
    9.9000   -0.8892   -0.5513
    9.9500   -0.8652   -0.4955
   10.0000   -0.8391   -0.4403
