                  N1       N11       N21
    7.5000    0.0000    0.0000    0.0000
    7.5500    0.0000    0.0000    0.0000
    7.6000    0.0000    0.0000    0.0000
    7.6500    0.0000    0.0000    0.0000
    7.7000    0.0000    0.0000    0.0000
    7.7500    0.0000    0.0000    0.0000
    7.8000    0.0000    0.0000    0.0000
    7.8500    0.0000    0.0000    0.0000
    7.9000    0.0000    0.0000    0.0000
    7.9500    0.0000    0.0000    0.0000
    8.0000    0.0000    0.0000    0.0000
    8.0500    0.0000    0.0000    0.0000
    8.1000    0.0000    0.0000    0.0000
    8.1500    0.0000    0.0000    0.0000
    8.2000    0.0000    0.0000    0.0000
    8.2500    0.0000    0.0000    0.0000
    8.3000    0.0000    0.0000    0.0000
    8.3500    0.0000    0.0000    0.0000
    8.4000    0.0000    0.0000    0.0000
    8.4500    0.0000    0.0000    0.0000
    8.5000    0.0000    0.0000    0.0095
    8.5500    0.0000    0.0000    0.0159
    8.6000    0.0000    0.0000    0.0261
    8.6500    0.0000    0.0000    0.0418
    8.7000    0.0000    0.0000    0.0655
    8.7500    0.0000    0.0000    0.1002
    8.8000    0.0000    0.0000    0.1497
    8.8500    0.0000    0.0000    0.2180
    8.9000    0.0000    0.0000    0.3099
    8.9500    0.0000    0.0000    0.4293
    9.0000    0.0000    0.0000    0.5793
    9.0500    0.0000    0.0000    0.7607
    9.1000    0.0000    0.0000    0.9711
    9.1500    0.0000    0.0000    1.2034
    9.2000    0.0000    0.0000    1.4457
    9.2500    0.0000    0.0000    1.6805
    9.3000    0.0000    0.0000    1.8862
    9.3500    0.0000    0.0000    2.0385
    9.4000    0.0000    0.0000    2.1130
    9.4500    0.0000    0.0000    2.0886
    9.5000    0.0000    0.0000    1.9511
    9.5500    0.0000    0.0000    1.6971
    9.6000    0.0000    0.0000    1.3349
    9.6500    0.0000    0.0000    0.8871
    9.7000    0.0000    0.0000    0.3876
    9.7500    0.0000    0.0000   -0.1236
    9.8000    0.0000    0.0000   -0.6055
    9.8500    0.0000    0.0000   -1.0233
    9.9000    0.0000    0.0000   -1.3527
    9.9500    0.0000    0.0000   -1.5820
   10.0000    0.0000    0.0000   -1.7119
