                  N1       N11       N21
    7.5500    0.0000    0.0000    0.0000
    7.6000    0.0000    0.0000    0.0000
    7.6500    0.0000    0.0000    0.0000
    7.7000    0.0000    0.0000    0.0000
    7.7500    0.0000    0.0000    0.0000
    7.8000    0.0000    0.0000    0.0000
    7.8500    0.0000    0.0000    0.0000
    7.9000    0.0000    0.0000    0.0000
    7.9500    0.0000    0.0000    0.0000
    8.0000    0.0000    0.0000    0.0000
    8.0500    0.0000    0.0000    0.0000
    8.1000    0.0000    0.0000    0.0000
    8.1500    0.0000    0.0000    0.0000
    8.2000    0.0000    0.0000    0.0000
    8.2500    0.0000    0.0000    0.0000
    8.3000    0.0000    0.0000    0.0000
    8.3500    0.0000    0.0000    0.0000
    8.4000    0.0000    0.0000    0.0000
    8.4500    0.0000    0.0000    0.0000
    8.5000    0.0000    0.0000    0.0000
    8.5500    0.0000    0.0000    0.0001
    8.6000    0.0000    0.0000    0.0002
    8.6500    0.0000    0.0000    0.0003
    8.7000    0.0000    0.0000    0.0006
    8.7500    0.0000    0.0000    0.0010
    8.8000    0.0000    0.0000    0.0017
    8.8500    0.0000    0.0000    0.0028
    8.9000    0.0000    0.0000    0.0044
    8.9500    0.0000    0.0000    0.0068
    9.0000    0.0000    0.0000    0.0103
    9.0500    0.0000    0.0000    0.0152
    9.1000    0.0000    0.0000    0.0220
    9.1500    0.0000    0.0000    0.0313
    9.2000    0.0000    0.0000    0.0436
    9.2500    0.0000    0.0000    0.0595
    9.3000    0.0000    0.0000    0.0796
    9.3500    0.0000    0.0000    0.1044
    9.4000    0.0000    0.0000    0.1342
    9.4500    0.0000    0.0000    0.1694
    9.5000    0.0000    0.0000    0.2097
    9.5500    0.0000    0.0000    0.2549
    9.6000    0.0000    0.0000    0.3043
    9.6500    0.0000    0.0000    0.3570
    9.7000    0.0000    0.0000    0.4119
    9.7500    0.0000    0.0000    0.4678
    9.8000    0.0000    0.0000    0.5234
    9.8500    0.0000    0.0000    0.5775
    9.9000    0.0000    0.0000    0.6291
    9.9500    0.0000    0.0000    0.6772
   10.0000    0.0000    0.0000    0.7215
